# GENERATED by scripts/generate-core-purity-baseline.sh — do not hand-edit.
# Grandfathered core -> public-extension references present in committed HEAD,
# plus extension -> other-extension references present in the submodule trees.
# PUBLIC-SAFE ONLY: entries naming a private extension in either half live in
# the gitignored core-purity-baseline.local.txt beside this file.
# Format: <repo-relative-path>|<extension-slug>
# Shrinking this list is core-purity debt reduction; regenerate after cleanup.
server/spec/models/concerns/auditable_spec.rb|marketing
server/spec/factories/supply_chain/attestations.rb|supply-chain
server/spec/factories/supply_chain/attributions.rb|supply-chain
server/spec/factories/supply_chain/build_provenances.rb|supply-chain
server/spec/factories/supply_chain/container_images.rb|supply-chain
server/spec/factories/supply_chain/cve_monitors.rb|supply-chain
server/spec/factories/supply_chain/image_policies.rb|supply-chain
server/spec/factories/supply_chain/license_detections.rb|supply-chain
server/spec/factories/supply_chain/license_policies.rb|supply-chain
server/spec/factories/supply_chain/license_violations.rb|supply-chain
server/spec/factories/supply_chain/licenses.rb|supply-chain
server/spec/factories/supply_chain/questionnaire_responses.rb|supply-chain
server/spec/factories/supply_chain/questionnaire_templates.rb|supply-chain
server/spec/factories/supply_chain/remediation_plans.rb|supply-chain
server/spec/factories/supply_chain/reports.rb|supply-chain
server/spec/factories/supply_chain/risk_assessments.rb|supply-chain
server/spec/factories/supply_chain/sbom_components.rb|supply-chain
server/spec/factories/supply_chain/sbom_diffs.rb|supply-chain
server/spec/factories/supply_chain/sbom_vulnerabilities.rb|supply-chain
server/spec/factories/supply_chain/sboms.rb|supply-chain
server/spec/factories/supply_chain/scan_executions.rb|supply-chain
server/spec/factories/supply_chain/scan_instances.rb|supply-chain
server/spec/factories/supply_chain/scan_templates.rb|supply-chain
server/spec/factories/supply_chain/signing_keys.rb|supply-chain
server/spec/factories/supply_chain/vendor_monitoring_events.rb|supply-chain
server/spec/factories/supply_chain/vendors.rb|supply-chain
server/spec/factories/supply_chain/verification_logs.rb|supply-chain
server/spec/factories/supply_chain/vulnerability_feeds.rb|supply-chain
server/spec/factories/supply_chain/vulnerability_scans.rb|supply-chain
server/spec/lib/extensions_loader_helper_spec.rb|supply-chain
server/spec/models/concerns/auditable_spec.rb|supply-chain
server/spec/services/core_supply_chain_coupling_guard_spec.rb|supply-chain
server/spec/services/devops/step_handlers/supply_chain_core_purity_spec.rb|supply-chain
scripts/prune-stale-git-runners.rb|system
server/app/controllers/api/v1/devops/kubernetes/clusters_controller.rb|system
server/app/controllers/api/v1/onboarding_controller.rb|system
server/app/models/account.rb|system
server/app/models/ai/provisioning_code_deployment.rb|system
server/app/models/devops/docker_host.rb|system
server/app/models/devops/kubernetes_node.rb|system
server/app/services/ai/autonomy/closure_driver_service.rb|system
server/app/services/ai/concierge_service.rb|system
server/app/services/ai/provisioning/cost_estimator_service.rb|system
server/app/services/ai/provisioning/dryrun_harness.rb|system
server/app/services/ai/provisioning/intent_capture_service.rb|system
server/app/services/ai/provisioning/plan_composer_service.rb|system
server/app/services/ai/provisioning/skill_composition_runner.rb|system
server/app/services/ai/provisioning/topology_renderer_service.rb|system
server/app/services/ai/tools/disk_image_operator_tool.rb|system
server/app/services/ai/tools/docker_provisioning_tool.rb|system
server/app/services/ai/tools/provisioning_tool.rb|system
server/app/services/devops/docker/container_manager.rb|system
server/app/services/devops/runner_prune_service.rb|system
server/db/schema.rb|system
server/lib/system_skills_catalog.rb|system
server/spec/controllers/api/v1/onboarding_controller_spec.rb|system
server/spec/lib/system_skills_catalog_spec.rb|system
server/spec/models/ai/provisioning_code_deployment_spec.rb|system
server/spec/models/concerns/account_peppered_encryption_spec.rb|system
server/spec/models/devops/kubernetes_node_spec.rb|system
server/spec/models/system_extension_association_guards_spec.rb|system
server/spec/requests/api/v1/mcp/instance_mtls_auth_spec.rb|system
server/spec/requests/api/v1/mtls_hardening_spec.rb|system
server/spec/requests/api/v1/setup_spec.rb|system
server/spec/services/ai/autonomy/closure_driver_service_spec.rb|system
server/spec/services/ai/codebase/indexing_service_embedding_spec.rb|system
server/spec/services/ai/provisioning/cost_estimator_service_spec.rb|system
server/spec/services/ai/provisioning/dryrun_harness_spec.rb|system
server/spec/services/ai/provisioning/intent_capture_provider_evidence_spec.rb|system
server/spec/services/ai/provisioning/intent_capture_provider_validation_spec.rb|system
server/spec/services/ai/provisioning/intent_capture_template_selection_spec.rb|system
server/spec/services/ai/provisioning/plan_composer_deterministic_synthesis_spec.rb|system
server/spec/services/ai/provisioning/plan_composer_multi_region_spec.rb|system
server/spec/services/ai/provisioning/plan_composer_region_resolution_spec.rb|system
server/spec/services/ai/provisioning/plan_composer_service_spec.rb|system
server/spec/services/ai/provisioning/plan_composer_template_selection_spec.rb|system
server/spec/services/ai/provisioning/plan_snapshot_template_label_spec.rb|system
server/spec/services/ai/tools/dev_loop_tool_delegate_provenance_spec.rb|system
server/spec/services/ai/tools/dev_loop_tool_spec.rb|system
server/spec/services/ai/tools/disk_image_operator_tool_spec.rb|system
server/spec/services/core_system_coupling_guard_spec.rb|system
server/spec/services/devops/runner_prune_service_spec.rb|system
server/spec/support/sdwan_test_helpers.rb|system
worker/app/jobs/system/identity_reaper_job.rb|system
worker/spec/jobs/system_ci_runner_lease_reconcile_job_spec.rb|system
worker/spec/jobs/system_instance_pool_replenisher_job_spec.rb|system
extensions/system/server/spec/integration/render_and_return_halt_idiom_spec.rb|marketing
